"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2,R11,R27,R12,R31,R1,R3,R10,R17,R28,R9,R32,R24,R26,R30,R4,R29,R25";"R_0805_2012Metric";18;"1M";;;
2;"D8,D2,D10,D3,D4,D7,D9,D1,D5,D6";"D_SMA";10;"SS54";;;
3;"J15,J11,J16,J13,J12,J17,J18,J14";"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal";8;"Screw_Terminal_01x03";;;
4;"R5,R16,R7,R13,R6,R8,R18,R14,R15";"R_0805_2012Metric";9;"100";;;
5;"R22";"R_0805_2012Metric";1;"0.33";;;
6;"IC4,IC3";"SOIC127P600X175-16N";2;"CD4051BM96";;;
7;"J19";"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal";1;"Screw_Terminal_01x04";;;
8;"H5,H1,H4,H2,H3";"MountingHole_4.3mm_M4";5;"MountingHole";;;
9;"L1";"L_1210_3225Metric";1;"220uH";;;
10;"Q1,Q7,Q8,Q4,Q6,Q2,Q9,Q5,Q3";"TPN2R805PLL1Q";9;"TPN2R805PL,L1Q";;;
11;"J7,J3,J8,J6,J2,J4,J1,J9,J5";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";9;"Screw_Terminal_01x02";;;
12;"C11,C10";"C_0805_2012Metric";2;"100nF";;;
13;"C9";"CP_Elec_10x10.5";1;"470uF";;;
14;"IC1";"SON50P300X300X80-11N";1;"NIS4461MT3TXG";;;
15;"R23,R21";"R_0805_2012Metric";2;"1.2k";;;
16;"C4,C3,C5,C6,C2";"C_0603_1608Metric";5;"100nF";;;
17;"SW1";"SW_SPST_Omron_B3FS-100xP_3D";1;"SW_MEC_5E";;;
18;"C8";"C_0805_2012Metric";1;"470pF";;;
19;"J10";"CUI_PJ-002BH-SMT-TR";1;"KH-DC-050-2.0STM";;;
20;"IC2";"SOIC127P600X175-8N";1;"MC34063ADR2G";;;
21;"D11";"LED_0603_1608Metric";1;"LED Blue";;;
22;"R20";"R_0805_2012Metric";1;"3.6k";;;
23;"R19";"R_0603_1608Metric";1;"100";;;
24;"C1";"C_0603_1608Metric";1;"470pF";;;
25;"C7";"CP_Elec_6.3x7.7";1;"100uF";;;
26;"TP4,TP1,TP3,TP5,TP6,TP2";"TestPoint_Pad_D2.0mm";6;"TestPoint";;;
